business_id,name,city,state,address,postal_code,rating,review_count,price,price_level,is_closed,categories_alias,categories_title,latitude,longitude,search_location,search_category
Arkwh6sIktiIjimtIiONXg,Lutie’s,Austin,TX,"4100 Red River St, Austin, TX 78751",78751,4.2,252,,,f,modern_european,modern european,30.300784,-97.722215,"Austin, TX",restaurants
lIXsFNSHZmhfD0dlbV4lSg,Santorini Cafe,Austin,TX,"11800 N Lamar Blvd, Austin, TX 78753",78753,4.7,1045,$$,2,f,"greek, wine_bars","greek, wine bars",30.387754325807133,-97.6841092,"Austin, TX",restaurants
tSUDZZ95ky1xiPXBGG6s1g,Uchibā Austin,Austin,TX,"601 W 2nd St, Austin, TX 78701",78701,4.4,230,$$,2,f,"cocktailbars, sushi, japanese","cocktail bars, sushi bars, japanese",30.2658,-97.74998,"Austin, TX",restaurants
xyvGNML9BW-3seLMqeYCWA,Colleen's Kitchen,Austin,TX,"1911 Aldrich St, Ste 100, Austin, TX 78723",78723,4,683,$$,2,f,"southern, newamerican, cocktailbars","southern, new american, cocktail bars",30.2984,-97.704748,"Austin, TX",restaurants
PXDwg6vXCzmpqnht6qmAnw,North Italia,Austin,TX,"500 W 2nd St, Ste 120, Austin, TX 78701",78701,3.9,817,$$,2,f,"italian, pizza, cocktailbars","italian, pizza, cocktail bars",30.26588,-97.74892,"Austin, TX",restaurants
KEh3efWSOIzd8BvuW-X4-g,Phoebe's Diner,Austin,TX,"533 W Oltorf St, Austin, TX 78704",78704,4.5,2032,$$,2,f,"breakfast_brunch, diners, tradamerican","breakfast & brunch, diners, american",30.2416132,-97.7588755,"Austin, TX",restaurants
aTuONbEHUx5BjyajRXWxcg,An Nyeong K Tofu & Bbq,Austin,TX,"5011 Burnet Rd, Austin, TX 78756",78756,4.6,177,$$,2,f,korean,korean,30.321701245378605,-97.7390392,"Austin, TX",restaurants
iiHcYdhd1CeDJjFZVCtKgg,Buddy's Burger,Austin,TX,"9001 Cameron Rd, Ste 101, Austin, TX 78754",78754,4.3,671,$,1,f,"burgers, tradamerican","burgers, american",30.34604078234463,-97.67666463864832,"Austin, TX",restaurants
A7M_2DiB8Xvj3NTs1RGfDg,Truluck's Ocean's Finest Seafood & Crab,Austin,TX,"10225 Research Blvd, Ste 4000, Austin, TX 78759",78759,4.3,751,$$$,3,f,"seafood, steak, venues","seafood, steakhouses, venues & event spaces",30.3952662489598,-97.7454305690891,"Austin, TX",restaurants
G6_o1h3cm7ocJK-To1HWew,Pho Please,Austin,TX,"1920 East Riverside Dr, Ste D140, Austin, TX 78741",78741,4.4,1276,$$,2,f,"vietnamese, noodles, soup","vietnamese, noodles, soup",30.243163,-97.72809,"Austin, TX",restaurants
-jxEILUSqsWL0Oo7cQDfVg,Sazan Ramen,Austin,TX,"6929 Airport Blvd, Ste 146, Austin, TX 78752",78752,4.3,546,$$,2,f,ramen,ramen,30.336686264420702,-97.71663004481591,"Austin, TX",restaurants
